data_seed,unitary_draw,method,fidelity_mean,fidelity_median,trace_distance_mean,n_features
0,0,bayes_linear,0.759156,0.803731,0.271727,0
0,1,bayes_linear,0.759156,0.803731,0.271727,0
0,2,bayes_linear,0.759156,0.803731,0.271727,0
0,3,bayes_linear,0.759156,0.803731,0.271727,0
0,4,bayes_linear,0.759156,0.803731,0.271727,0
1,0,bayes_linear,0.758254,0.796472,0.274006,0
1,1,bayes_linear,0.758254,0.796472,0.274006,0
1,2,bayes_linear,0.758254,0.796472,0.274006,0
1,3,bayes_linear,0.758254,0.796472,0.274006,0
1,4,bayes_linear,0.758254,0.796472,0.274006,0
2,0,bayes_linear,0.754975,0.78841,0.276118,0
2,1,bayes_linear,0.754975,0.78841,0.276118,0
2,2,bayes_linear,0.754975,0.78841,0.276118,0
2,3,bayes_linear,0.754975,0.78841,0.276118,0
2,4,bayes_linear,0.754975,0.78841,0.276118,0
0,0,oracle_analytic,0.792867,0.928305,0.322358,0
0,1,oracle_analytic,0.792867,0.928305,0.322358,0
0,2,oracle_analytic,0.792867,0.928305,0.322358,0
0,3,oracle_analytic,0.792867,0.928305,0.322358,0
0,4,oracle_analytic,0.792867,0.928305,0.322358,0
1,0,oracle_analytic,0.787847,0.923608,0.32886,0
1,1,oracle_analytic,0.787847,0.923608,0.32886,0
1,2,oracle_analytic,0.787847,0.923608,0.32886,0
1,3,oracle_analytic,0.787847,0.923608,0.32886,0
1,4,oracle_analytic,0.787847,0.923608,0.32886,0
2,0,oracle_analytic,0.786356,0.923908,0.328952,0
2,1,oracle_analytic,0.786356,0.923908,0.328952,0
2,2,oracle_analytic,0.786356,0.923908,0.328952,0
2,3,oracle_analytic,0.786356,0.923908,0.328952,0
2,4,oracle_analytic,0.786356,0.923908,0.328952,0
0,0,ridge_classical,0.723707,0.772262,0.302058,13
0,1,ridge_classical,0.723707,0.772262,0.302058,13
0,2,ridge_classical,0.723707,0.772262,0.302058,13
0,3,ridge_classical,0.723707,0.772262,0.302058,13
0,4,ridge_classical,0.723707,0.772262,0.302058,13
1,0,ridge_classical,0.73208,0.783937,0.294699,13
1,1,ridge_classical,0.73208,0.783937,0.294699,13
1,2,ridge_classical,0.73208,0.783937,0.294699,13
1,3,ridge_classical,0.73208,0.783937,0.294699,13
1,4,ridge_classical,0.73208,0.783937,0.294699,13
2,0,ridge_classical,0.714037,0.759071,0.309662,13
2,1,ridge_classical,0.714037,0.759071,0.309662,13
2,2,ridge_classical,0.714037,0.759071,0.309662,13
2,3,ridge_classical,0.714037,0.759071,0.309662,13
2,4,ridge_classical,0.714037,0.759071,0.309662,13
0,0,ridge_qrc_digital,0.722318,0.770173,0.304483,97
0,1,ridge_qrc_digital,0.738751,0.792235,0.296957,97
0,2,ridge_qrc_digital,0.721284,0.777805,0.304896,97
0,3,ridge_qrc_digital,0.727136,0.75472,0.300999,97
0,4,ridge_qrc_digital,0.738277,0.797675,0.299282,97
1,0,ridge_qrc_digital,0.733516,0.790015,0.294813,97
1,1,ridge_qrc_digital,0.746006,0.826157,0.289938,97
1,2,ridge_qrc_digital,0.72464,0.78347,0.301405,97
1,3,ridge_qrc_digital,0.737217,0.766738,0.290071,97
1,4,ridge_qrc_digital,0.741315,0.823952,0.293561,97
2,0,ridge_qrc_digital,0.718985,0.765533,0.307256,97
2,1,ridge_qrc_digital,0.731012,0.790224,0.303387,97
2,2,ridge_qrc_digital,0.708942,0.765948,0.31478,97
2,3,ridge_qrc_digital,0.720422,0.746245,0.304494,97
2,4,ridge_qrc_digital,0.726475,0.795649,0.306897,97
