data_seed,unitary_draw,method,fidelity_mean,fidelity_median,trace_distance_mean,n_features
0,0,bayes_linear,0.669491,0.776852,0.354715,0
0,1,bayes_linear,0.669491,0.776852,0.354715,0
0,2,bayes_linear,0.669491,0.776852,0.354715,0
0,3,bayes_linear,0.669491,0.776852,0.354715,0
0,4,bayes_linear,0.669491,0.776852,0.354715,0
1,0,bayes_linear,0.670107,0.771498,0.35418,0
1,1,bayes_linear,0.670107,0.771498,0.35418,0
1,2,bayes_linear,0.670107,0.771498,0.35418,0
1,3,bayes_linear,0.670107,0.771498,0.35418,0
1,4,bayes_linear,0.670107,0.771498,0.35418,0
2,0,bayes_linear,0.67031,0.782281,0.354086,0
2,1,bayes_linear,0.67031,0.782281,0.354086,0
2,2,bayes_linear,0.67031,0.782281,0.354086,0
2,3,bayes_linear,0.67031,0.782281,0.354086,0
2,4,bayes_linear,0.67031,0.782281,0.354086,0
0,0,oracle_analytic,0.710797,0.866941,0.375117,0
0,1,oracle_analytic,0.710797,0.866941,0.375117,0
0,2,oracle_analytic,0.710797,0.866941,0.375117,0
0,3,oracle_analytic,0.710797,0.866941,0.375117,0
0,4,oracle_analytic,0.710797,0.866941,0.375117,0
1,0,oracle_analytic,0.713845,0.868421,0.371485,0
1,1,oracle_analytic,0.713845,0.868421,0.371485,0
1,2,oracle_analytic,0.713845,0.868421,0.371485,0
1,3,oracle_analytic,0.713845,0.868421,0.371485,0
1,4,oracle_analytic,0.713845,0.868421,0.371485,0
2,0,oracle_analytic,0.712307,0.877536,0.372735,0
2,1,oracle_analytic,0.712307,0.877536,0.372735,0
2,2,oracle_analytic,0.712307,0.877536,0.372735,0
2,3,oracle_analytic,0.712307,0.877536,0.372735,0
2,4,oracle_analytic,0.712307,0.877536,0.372735,0
0,0,ridge_classical,0.830995,0.858193,0.231043,25
0,1,ridge_classical,0.830995,0.858193,0.231043,25
0,2,ridge_classical,0.830995,0.858193,0.231043,25
0,3,ridge_classical,0.830995,0.858193,0.231043,25
0,4,ridge_classical,0.830995,0.858193,0.231043,25
1,0,ridge_classical,0.840129,0.871904,0.227594,25
1,1,ridge_classical,0.840129,0.871904,0.227594,25
1,2,ridge_classical,0.840129,0.871904,0.227594,25
1,3,ridge_classical,0.840129,0.871904,0.227594,25
1,4,ridge_classical,0.840129,0.871904,0.227594,25
2,0,ridge_classical,0.837005,0.865203,0.227759,25
2,1,ridge_classical,0.837005,0.865203,0.227759,25
2,2,ridge_classical,0.837005,0.865203,0.227759,25
2,3,ridge_classical,0.837005,0.865203,0.227759,25
2,4,ridge_classical,0.837005,0.865203,0.227759,25
0,0,ridge_qrc_digital,0.840801,0.875737,0.221706,205
0,1,ridge_qrc_digital,0.836175,0.866243,0.226662,205
0,2,ridge_qrc_digital,0.836047,0.870898,0.227909,205
0,3,ridge_qrc_digital,0.839385,0.875505,0.224464,205
0,4,ridge_qrc_digital,0.839031,0.879489,0.223602,205
1,0,ridge_qrc_digital,0.848975,0.887533,0.217123,205
1,1,ridge_qrc_digital,0.847038,0.882647,0.218175,205
1,2,ridge_qrc_digital,0.847348,0.879133,0.218181,205
1,3,ridge_qrc_digital,0.848052,0.884528,0.218922,205
1,4,ridge_qrc_digital,0.847711,0.885811,0.217206,205
2,0,ridge_qrc_digital,0.84818,0.887866,0.217084,205
2,1,ridge_qrc_digital,0.847097,0.890317,0.21797,205
2,2,ridge_qrc_digital,0.843986,0.87976,0.219865,205
2,3,ridge_qrc_digital,0.848716,0.887014,0.219021,205
2,4,ridge_qrc_digital,0.847112,0.88655,0.21652,205
