bin_center,classical_mean,classical_sem,qrc_digital_mean,qrc_digital_sem,n_cells
0.05,0.907058,0.000614,0.903014,0.00204,15
0.15,0.935997,0.000826,0.933995,0.001173,15
0.25,0.947385,0.001958,0.948009,0.00164,15
0.35,0.953825,0.000531,0.955516,0.000814,15
0.45,0.958985,0.00062,0.959933,0.000845,15
0.55,0.962501,0.000281,0.96346,0.000767,15
0.65,0.96616,0.000233,0.967782,0.000853,15
0.75,0.970026,8.9e-05,0.970777,0.000737,15
0.85,0.971119,0.000353,0.97302,0.000627,15
0.95,0.974033,0.000703,0.975072,0.000742,15
1.05,0.974186,0.00058,0.975752,0.000711,15
1.15,0.977513,0.000703,0.977397,0.000904,15
1.25,0.975261,0.000686,0.975384,0.000387,15
1.35,0.974698,0.001112,0.975933,0.001123,15
1.45,0.973132,0.001412,0.973616,0.001161,15
1.55,0.974327,0.001146,0.974691,0.000578,15
1.65,0.97526,0.000509,0.974309,0.000578,15
1.75,0.970512,0.000945,0.968617,0.00097,15
1.85,0.9704,0.001506,0.970282,0.001466,15
1.95,0.975153,0.001041,0.973128,0.00086,15
