g_bin_center,data_seed,unitary_draw,classical,qrc_digital
0.05,0,0,0.908881,0.89838
0.05,0,1,0.908881,0.900833
0.05,0,2,0.908881,0.902645
0.05,0,3,0.908881,0.902343
0.05,0,4,0.908881,0.896821
0.05,1,0,0.903816,0.892957
0.05,1,1,0.903816,0.900553
0.05,1,2,0.903816,0.897496
0.05,1,3,0.903816,0.900811
0.05,1,4,0.903816,0.893405
0.05,2,0,0.908477,0.909444
0.05,2,1,0.908477,0.921204
0.05,2,2,0.908477,0.913406
0.05,2,3,0.908477,0.912652
0.05,2,4,0.908477,0.902267
0.15,0,0,0.936677,0.930099
0.15,0,1,0.936677,0.92836
0.15,0,2,0.936677,0.927353
0.15,0,3,0.936677,0.929308
0.15,0,4,0.936677,0.928649
0.15,1,0,0.939397,0.933987
0.15,1,1,0.939397,0.940522
0.15,1,2,0.939397,0.938595
0.15,1,3,0.939397,0.940721
0.15,1,4,0.939397,0.935841
0.15,2,0,0.931916,0.933148
0.15,2,1,0.931916,0.937849
0.15,2,2,0.931916,0.937464
0.15,2,3,0.931916,0.935908
0.15,2,4,0.931916,0.932127
0.25,0,0,0.957548,0.954292
0.25,0,1,0.957548,0.957284
0.25,0,2,0.957548,0.954307
0.25,0,3,0.957548,0.955375
0.25,0,4,0.957548,0.956333
0.25,1,0,0.944059,0.937886
0.25,1,1,0.944059,0.947128
0.25,1,2,0.944059,0.938716
0.25,1,3,0.944059,0.944748
0.25,1,4,0.944059,0.942631
0.25,2,0,0.940548,0.945983
0.25,2,1,0.940548,0.950774
0.25,2,2,0.940548,0.946346
0.25,2,3,0.940548,0.945429
0.25,2,4,0.940548,0.9429
0.35,0,0,0.955376,0.957367
0.35,0,1,0.955376,0.956212
0.35,0,2,0.955376,0.957268
0.35,0,3,0.955376,0.957793
0.35,0,4,0.955376,0.95794
0.35,1,0,0.955079,0.952261
0.35,1,1,0.955079,0.955381
0.35,1,2,0.955079,0.952678
0.35,1,3,0.955079,0.954805
0.35,1,4,0.955079,0.953228
0.35,2,0,0.95102,0.952563
0.35,2,1,0.95102,0.964249
0.35,2,2,0.95102,0.953714
0.35,2,3,0.95102,0.954541
0.35,2,4,0.95102,0.952745
0.45,0,0,0.961916,0.961295
0.45,0,1,0.961916,0.961684
0.45,0,2,0.961916,0.961148
0.45,0,3,0.961916,0.961128
0.45,0,4,0.961916,0.96215
0.45,1,0,0.958798,0.957222
0.45,1,1,0.958798,0.960488
0.45,1,2,0.958798,0.957355
0.45,1,3,0.958798,0.959264
0.45,1,4,0.958798,0.957297
0.45,2,0,0.956241,0.957331
0.45,2,1,0.956241,0.969542
0.45,2,2,0.956241,0.957218
0.45,2,3,0.956241,0.95864
0.45,2,4,0.956241,0.957237
0.55,0,0,0.96395,0.963836
0.55,0,1,0.96395,0.964261
0.55,0,2,0.96395,0.96455
0.55,0,3,0.96395,0.964464
0.55,0,4,0.96395,0.964549
0.55,1,0,0.961485,0.961227
0.55,1,1,0.961485,0.962663
0.55,1,2,0.961485,0.961011
0.55,1,3,0.961485,0.961947
0.55,1,4,0.961485,0.959733
0.55,2,0,0.962068,0.962834
0.55,2,1,0.962068,0.972808
0.55,2,2,0.962068,0.963331
0.55,2,3,0.962068,0.963094
0.55,2,4,0.962068,0.961589
0.65,0,0,0.965138,0.966612
0.65,0,1,0.965138,0.966693
0.65,0,2,0.965138,0.966969
0.65,0,3,0.965138,0.966491
0.65,0,4,0.965138,0.966549
0.65,1,0,0.966073,0.966309
0.65,1,1,0.966073,0.968904
0.65,1,2,0.966073,0.965802
0.65,1,3,0.966073,0.967495
0.65,1,4,0.966073,0.964743
0.65,2,0,0.967268,0.967641
0.65,2,1,0.967268,0.979079
0.65,2,2,0.967268,0.968383
0.65,2,3,0.967268,0.968431
0.65,2,4,0.967268,0.966624
0.75,0,0,0.970238,0.97003
0.75,0,1,0.970238,0.970411
0.75,0,2,0.970238,0.971995
0.75,0,3,0.970238,0.97091
0.75,0,4,0.970238,0.969678
0.75,1,0,0.970283,0.96786
0.75,1,1,0.970283,0.970093
0.75,1,2,0.970283,0.969072
0.75,1,3,0.970283,0.970159
0.75,1,4,0.970283,0.967317
0.75,2,0,0.969557,0.971908
0.75,2,1,0.969557,0.979949
0.75,2,2,0.969557,0.971287
0.75,2,3,0.969557,0.971005
0.75,2,4,0.969557,0.969975
0.85,0,0,0.972208,0.973122
0.85,0,1,0.972208,0.973833
0.85,0,2,0.972208,0.97276
0.85,0,3,0.972208,0.973304
0.85,0,4,0.972208,0.972141
0.85,1,0,0.969262,0.971632
0.85,1,1,0.969262,0.971575
0.85,1,2,0.969262,0.970656
0.85,1,3,0.969262,0.971068
0.85,1,4,0.969262,0.970309
0.85,2,0,0.971888,0.973349
0.85,2,1,0.971888,0.980623
0.85,2,2,0.971888,0.973249
0.85,2,3,0.971888,0.97449
0.85,2,4,0.971888,0.973192
0.95,0,0,0.976842,0.974745
0.95,0,1,0.976842,0.975419
0.95,0,2,0.976842,0.975274
0.95,0,3,0.976842,0.97607
0.95,0,4,0.976842,0.974499
0.95,1,0,0.970517,0.973525
0.95,1,1,0.970517,0.973453
0.95,1,2,0.970517,0.971615
0.95,1,3,0.970517,0.972875
0.95,1,4,0.970517,0.969993
0.95,2,0,0.974739,0.977046
0.95,2,1,0.974739,0.982253
0.95,2,2,0.974739,0.977606
0.95,2,3,0.974739,0.977127
0.95,2,4,0.974739,0.974587
1.05,0,0,0.97669,0.976289
1.05,0,1,0.97669,0.975984
1.05,0,2,0.97669,0.976399
1.05,0,3,0.97669,0.977202
1.05,0,4,0.97669,0.973455
1.05,1,0,0.971399,0.972913
1.05,1,1,0.971399,0.974104
1.05,1,2,0.971399,0.972793
1.05,1,3,0.971399,0.974006
1.05,1,4,0.971399,0.971565
1.05,2,0,0.974468,0.977249
1.05,2,1,0.974468,0.98278
1.05,2,2,0.974468,0.977165
1.05,2,3,0.974468,0.97743
1.05,2,4,0.974468,0.976944
1.15,0,0,0.977392,0.974428
1.15,0,1,0.977392,0.974611
1.15,0,2,0.977392,0.97646
1.15,0,3,0.977392,0.97541
1.15,0,4,0.977392,0.974693
1.15,1,0,0.974355,0.974136
1.15,1,1,0.974355,0.975979
1.15,1,2,0.974355,0.976338
1.15,1,3,0.974355,0.976624
1.15,1,4,0.974355,0.974191
1.15,2,0,0.980792,0.981255
1.15,2,1,0.980792,0.986088
1.15,2,2,0.980792,0.979353
1.15,2,3,0.980792,0.981726
1.15,2,4,0.980792,0.979657
1.25,0,0,0.978487,0.976498
1.25,0,1,0.978487,0.977292
1.25,0,2,0.978487,0.975555
1.25,0,3,0.978487,0.97525
1.25,0,4,0.978487,0.976048
1.25,1,0,0.975092,0.975696
1.25,1,1,0.975092,0.977178
1.25,1,2,0.975092,0.9741
1.25,1,3,0.975092,0.976232
1.25,1,4,0.975092,0.974277
1.25,2,0,0.972205,0.976384
1.25,2,1,0.972205,0.975971
1.25,2,2,0.972205,0.971381
1.25,2,3,0.972205,0.974402
1.25,2,4,0.972205,0.974492
1.35,0,0,0.977731,0.979313
1.35,0,1,0.977731,0.977404
1.35,0,2,0.977731,0.976676
1.35,0,3,0.977731,0.9772
1.35,0,4,0.977731,0.975662
1.35,1,0,0.968815,0.972026
1.35,1,1,0.968815,0.970746
1.35,1,2,0.968815,0.969553
1.35,1,3,0.968815,0.968645
1.35,1,4,0.968815,0.971234
1.35,2,0,0.977547,0.98018
1.35,2,1,0.977547,0.981749
1.35,2,2,0.977547,0.979998
1.35,2,3,0.977547,0.979362
1.35,2,4,0.977547,0.979254
1.45,0,0,0.975912,0.973183
1.45,0,1,0.975912,0.97478
1.45,0,2,0.975912,0.975706
1.45,0,3,0.975912,0.974428
1.45,0,4,0.975912,0.976332
1.45,1,0,0.965735,0.969118
1.45,1,1,0.965735,0.970629
1.45,1,2,0.965735,0.96652
1.45,1,3,0.965735,0.966981
1.45,1,4,0.965735,0.966837
1.45,2,0,0.97775,0.979008
1.45,2,1,0.97775,0.978296
1.45,2,2,0.97775,0.977607
1.45,2,3,0.97775,0.97879
1.45,2,4,0.97775,0.97602
1.55,0,0,0.978763,0.975101
1.55,0,1,0.978763,0.97694
1.55,0,2,0.978763,0.975506
1.55,0,3,0.978763,0.97486
1.55,0,4,0.978763,0.974045
1.55,1,0,0.968526,0.973431
1.55,1,1,0.968526,0.972566
1.55,1,2,0.968526,0.970641
1.55,1,3,0.968526,0.971249
1.55,1,4,0.968526,0.973763
1.55,2,0,0.975693,0.978206
1.55,2,1,0.975693,0.975517
1.55,2,2,0.975693,0.973856
1.55,2,3,0.975693,0.976751
1.55,2,4,0.975693,0.977933
1.65,0,0,0.977692,0.972269
1.65,0,1,0.977692,0.973108
1.65,0,2,0.977692,0.971511
1.65,0,3,0.977692,0.970365
1.65,0,4,0.977692,0.972711
1.65,1,0,0.973041,0.975075
1.65,1,1,0.973041,0.977901
1.65,1,2,0.973041,0.977789
1.65,1,3,0.973041,0.9753
1.65,1,4,0.973041,0.975477
1.65,2,0,0.975048,0.973762
1.65,2,1,0.975048,0.977125
1.65,2,2,0.975048,0.973124
1.65,2,3,0.975048,0.975273
1.65,2,4,0.975048,0.973844
1.75,0,0,0.97258,0.970573
1.75,0,1,0.97258,0.968644
1.75,0,2,0.97258,0.970375
1.75,0,3,0.97258,0.967235
1.75,0,4,0.97258,0.97068
1.75,1,0,0.965534,0.964545
1.75,1,1,0.965534,0.964957
1.75,1,2,0.965534,0.962152
1.75,1,3,0.965534,0.963186
1.75,1,4,0.965534,0.966192
1.75,2,0,0.973423,0.974353
1.75,2,1,0.973423,0.969041
1.75,2,2,0.973423,0.971982
1.75,2,3,0.973423,0.9723
1.75,2,4,0.973423,0.973043
1.85,0,0,0.972123,0.96726
1.85,0,1,0.972123,0.968252
1.85,0,2,0.972123,0.969083
1.85,0,3,0.972123,0.967713
1.85,0,4,0.972123,0.968515
1.85,1,0,0.962799,0.964102
1.85,1,1,0.962799,0.966704
1.85,1,2,0.962799,0.964181
1.85,1,3,0.962799,0.964143
1.85,1,4,0.962799,0.965689
1.85,2,0,0.976277,0.977725
1.85,2,1,0.976277,0.978886
1.85,2,2,0.976277,0.978314
1.85,2,3,0.976277,0.97676
1.85,2,4,0.976277,0.976899
1.95,0,0,0.969679,0.971567
1.95,0,1,0.969679,0.967241
1.95,0,2,0.969679,0.97034
