bin_variable,bin_center,classical_mean,classical_sem,qpu_mean,qpu_sem,sqa_mean,sqa_sem,n_seeds
x (Bloch angle in rad),0.261799,0.725243,0.02807,0.705951,0.044641,0.715122,0.043548,3
x (Bloch angle in rad),0.785398,0.686854,0.046563,0.676183,0.017591,0.656522,0.021185,3
x (Bloch angle in rad),1.308997,0.720161,0.036761,0.720114,0.020299,0.726778,0.023305,3
x (Bloch angle in rad),1.832596,0.762569,0.033486,0.714986,0.0024,0.733946,0.031213,3
x (Bloch angle in rad),2.356194,0.756426,0.022675,0.753991,0.031448,0.776232,0.009118,3
x (Bloch angle in rad),2.879793,0.712237,0.023479,0.651305,0.022356,0.674788,0.01426,3
x (Bloch angle in rad),3.403392,0.703282,0.019859,0.692932,0.016339,0.72277,0.035012,3
x (Bloch angle in rad),3.926991,0.674861,0.048108,0.64725,0.028576,0.661992,0.050278,3
x (Bloch angle in rad),4.45059,0.720315,0.026544,0.706841,0.004525,0.710733,0.018259,3
x (Bloch angle in rad),4.974188,0.782464,0.007273,0.733647,0.026255,0.762166,0.007065,3
x (Bloch angle in rad),5.497787,0.78966,0.027803,0.760984,0.004441,0.772676,0.034625,3
x (Bloch angle in rad),6.021386,0.699763,0.030307,0.714386,0.017083,0.720039,0.014379,3
