bin_variable,data_seed,bin_center,classical,qpu,sqa
x (Bloch angle in rad),0,0.261799,0.779346,0.789431,0.799074
x (Bloch angle in rad),1,0.261799,0.625214,0.636791,0.653065
x (Bloch angle in rad),2,0.261799,0.68117,0.691631,0.693227
x (Bloch angle in rad),0,0.785398,0.59673,0.651749,0.621047
x (Bloch angle in rad),1,0.785398,0.701604,0.710323,0.694322
x (Bloch angle in rad),2,0.785398,0.652228,0.666478,0.654198
x (Bloch angle in rad),0,1.308997,0.65597,0.679559,0.710576
x (Bloch angle in rad),1,1.308997,0.783301,0.738749,0.772727
x (Bloch angle in rad),2,1.308997,0.721212,0.742033,0.697032
x (Bloch angle in rad),0,1.832596,0.70656,0.716812,0.691809
x (Bloch angle in rad),1,1.832596,0.729476,0.710228,0.794903
x (Bloch angle in rad),2,1.832596,0.701672,0.717917,0.715126
x (Bloch angle in rad),0,2.356194,0.737914,0.805175,0.793848
x (Bloch angle in rad),1,2.356194,0.729828,0.696743,0.771506
x (Bloch angle in rad),2,2.356194,0.751535,0.760054,0.763341
x (Bloch angle in rad),0,2.879793,0.668913,0.671967,0.7022
x (Bloch angle in rad),1,2.879793,0.648504,0.606635,0.654263
x (Bloch angle in rad),2,2.879793,0.659294,0.675313,0.667902
x (Bloch angle in rad),0,3.403392,0.700822,0.712679,0.763169
x (Bloch angle in rad),1,3.403392,0.708842,0.705606,0.752104
x (Bloch angle in rad),2,3.403392,0.640182,0.66051,0.653038
x (Bloch angle in rad),0,3.926991,0.62322,0.650383,0.629121
x (Bloch angle in rad),1,3.926991,0.680987,0.695103,0.760726
x (Bloch angle in rad),2,3.926991,0.630375,0.596263,0.596128
x (Bloch angle in rad),0,4.45059,0.672657,0.699122,0.682152
x (Bloch angle in rad),1,4.45059,0.7344,0.706609,0.74471
x (Bloch angle in rad),2,4.45059,0.683887,0.714792,0.705337
x (Bloch angle in rad),0,4.974188,0.749377,0.750255,0.771676
x (Bloch angle in rad),1,4.974188,0.754507,0.682202,0.766461
x (Bloch angle in rad),2,4.974188,0.783509,0.768484,0.748361
x (Bloch angle in rad),0,5.497787,0.743326,0.762572,0.735469
x (Bloch angle in rad),1,5.497787,0.82428,0.767758,0.841859
x (Bloch angle in rad),2,5.497787,0.741373,0.752622,0.740699
x (Bloch angle in rad),0,6.021386,0.73806,0.74667,0.744909
x (Bloch angle in rad),1,6.021386,0.639927,0.68856,0.695098
x (Bloch angle in rad),2,6.021386,0.721303,0.707928,0.720109
