bin_variable,bin_center,classical_mean,classical_sem,qpu_mean,qpu_sem,sqa_mean,sqa_sem,n_seeds
g (transverse field over J),0.1,0.893214,0.014075,0.900808,0.011122,0.891193,0.018009,3
g (transverse field over J),0.3,0.947202,0.002511,0.951588,0.002672,0.94679,0.007283,3
g (transverse field over J),0.5,0.953403,0.001735,0.967613,0.001655,0.968577,0.000687,3
g (transverse field over J),0.7,0.964362,0.002991,0.976044,0.00145,0.974651,0.000287,3
g (transverse field over J),0.9,0.981487,0.004409,0.983806,0.003069,0.982677,0.004905,3
g (transverse field over J),1.1,0.965659,0.001562,0.972961,0.003362,0.978312,0.003293,3
g (transverse field over J),1.3,0.963058,0.003489,0.977617,0.005228,0.976558,0.005125,3
g (transverse field over J),1.5,0.977522,0.004246,0.96845,0.005641,0.969708,0.003021,3
g (transverse field over J),1.7,0.963215,0.00015,0.963614,0.002905,0.969372,0.002137,3
g (transverse field over J),1.9,0.957186,0.001442,0.947696,0.009775,0.960171,0.001495,3
