bin_variable,data_seed,bin_center,classical,qpu,sqa
g (transverse field over J),0,0.1,0.905265,0.881529,0.855983
g (transverse field over J),1,0.1,0.913408,0.90084,0.902227
g (transverse field over J),2,0.1,0.950968,0.920055,0.91537
g (transverse field over J),0,0.3,0.942872,0.946244,0.932797
g (transverse field over J),1,0.3,0.947163,0.954202,0.950283
g (transverse field over J),2,0.3,0.95157,0.954319,0.957289
g (transverse field over J),0,0.5,0.960146,0.970863,0.967255
g (transverse field over J),1,0.5,0.96607,0.965447,0.968914
g (transverse field over J),2,0.5,0.963993,0.966528,0.969563
g (transverse field over J),0,0.7,0.968382,0.974483,0.97408
g (transverse field over J),1,0.7,0.977435,0.974708,0.974996
g (transverse field over J),2,0.7,0.97727,0.978942,0.974876
g (transverse field over J),0,0.9,0.989051,0.984958,0.987081
g (transverse field over J),1,0.9,0.981628,0.98845,0.988066
g (transverse field over J),2,0.9,0.973781,0.978009,0.972884
g (transverse field over J),0,1.1,0.972542,0.972412,0.97412
g (transverse field over J),1,1.1,0.977399,0.967431,0.984808
g (transverse field over J),2,1.1,0.977037,0.979039,0.976009
g (transverse field over J),0,1.3,0.982751,0.974182,0.970755
g (transverse field over J),1,1.3,0.989249,0.987887,0.986777
g (transverse field over J),2,1.3,0.977174,0.970781,0.972141
g (transverse field over J),0,1.5,0.979827,0.979102,0.966504
g (transverse field over J),1,1.5,0.983447,0.959905,0.975747
g (transverse field over J),2,1.5,0.969291,0.966342,0.966873
g (transverse field over J),0,1.7,0.973429,0.961051,0.966698
g (transverse field over J),1,1.7,0.973291,0.96038,0.967822
g (transverse field over J),2,1.7,0.972926,0.96941,0.973596
g (transverse field over J),0,1.9,0.969812,0.958291,0.962881
g (transverse field over J),1,1.9,0.96484,0.92817,0.957722
g (transverse field over J),2,1.9,0.966905,0.956628,0.959911
