bin_variable,data_seed,bin_center,classical,qpu,sqa
g (transverse field over J),0,0.1,"8,71E+05","8,82E+05","8,56E+05"
g (transverse field over J),1,0.1,"9,00E+04","9,01E+04","9,02E+05"
g (transverse field over J),2,0.1,"9,15E+05","9,20E+05","9,15E+04"
g (transverse field over J),0,0.3,"9,43E+05","9,46E+05","9,33E+05"
g (transverse field over J),1,0.3,"9,47E+05","9,54E+05","9,50E+05"
g (transverse field over J),2,0.3,"9,52E+04","9,54E+05","9,57E+05"
g (transverse field over J),0,0.5,"9,60E+05","9,71E+05","9,67E+05"
g (transverse field over J),1,0.5,"9,46E+04","9,65E+05","9,69E+05"
g (transverse field over J),2,0.5,"9,64E+05","9,67E+05","9,70E+05"
g (transverse field over J),0,0.7,"9,68E+05","9,74E+05","9,74E+04"
g (transverse field over J),1,0.7,"9,51E+05","9,75E+05","9,75E+05"
g (transverse field over J),2,0.7,"9,77E+04","9,79E+05","9,75E+05"
g (transverse field over J),0,0.9,"9,82E+05","9,85E+05","9,87E+05"
g (transverse field over J),1,0.9,"9,82E+05","9,88E+04","9,88E+05"
g (transverse field over J),2,0.9,"9,74E+05","9,78E+05","9,73E+05"
g (transverse field over J),0,1.1,"9,73E+05","9,72E+05","9,74E+04"
g (transverse field over J),1,1.1,"9,85E+05","9,67E+05","9,85E+05"
g (transverse field over J),2,1.1,"9,77E+05","9,79E+05","9,76E+05"
g (transverse field over J),0,1.3,"9,70E+05","9,74E+05","9,71E+05"
g (transverse field over J),1,1.3,"9,84E+05","9,88E+05","9,87E+05"
g (transverse field over J),2,1.3,"9,72E+05","9,71E+05","9,72E+05"
g (transverse field over J),0,1.5,"9,70E+06","9,79E+05","9,67E+05"
g (transverse field over J),1,1.5,"9,50E+05","9,60E+05","9,76E+05"
g (transverse field over J),2,1.5,"9,69E+05","9,66E+05","9,67E+05"
g (transverse field over J),0,1.7,"9,50E+05","9,61E+05","9,67E+05"
g (transverse field over J),1,1.7,"9,54E+05","9,60E+04","9,68E+05"
g (transverse field over J),2,1.7,"9,53E+05","9,69E+04","9,74E+05"
g (transverse field over J),0,1.9,"9,40E+05","9,58E+05","9,63E+05"
g (transverse field over J),1,1.9,"9,00E+04","9,28E+04","9,58E+05"
g (transverse field over J),2,1.9,"9,64E+05","9,57E+05","9,60E+05"
